# ----------------------------------------
# Reports snapshot
# Account: FSIDIGITAL
# Property: FSIDIGITAL
# ----------------------------------------
#  
# Start date: 20260601
# End date: 20260630
Nth week,Active users
0000,345
0001,401
0002,821
0003,1601
0004,194

# Start date: 20260601
# End date: 20260630
Nth week,New users
0000,331
0001,386
0002,802
0003,1581
0004,181

# Start date: 20260601
# End date: 20260630
Nth week,Average engagement time per active user
0000,50.71884057971015
0001,40.069825436408976
0002,21.15712545676005
0003,8.815115552779513
0004,25.391752577319586

# Start date: 20260601
# End date: 20260630
Nth week,Total revenue
0000,0
0001,199
0002,0
0003,0
0004,0

# Where do your new users come from?
# Start date: 20260601
# End date: 20260630
First user primary channel group (Default Channel Group),New users
Direct,2583
Organic Search,569
AI Assistant,69
Referral,19
Unassigned,18
Cross-network,12
Paid Search,8
Email,3

#  
# Start date: 20260601
# End date: 20260630
Session primary channel group (Default Channel Group),Sessions
Direct,2698
Organic Search,715
AI Assistant,87
Unassigned,87
Referral,42
Email,20
Cross-network,12
Paid Search,8
Organic Social,7

#  
# Start date: 20260601
# End date: 20260630
Country ID,Active users
AR,2
AU,1
AZ,1
BD,1
BG,1
BR,7
BY,1
CA,581
CL,1
CN,51
CR,1
DE,5
EC,1
FR,2
GB,24
HK,6
HU,1
ID,2
IE,2
IN,35
IR,9
IT,4
JM,1
JO,2
JP,1
KE,1
KR,2
KY,1
MW,1
MY,2
NG,2
NL,5
NO,1
PH,2
PK,4
PL,1
PS,1
PT,2
RO,7
RU,2
SG,1957
TH,1
US,588
UY,1
UZ,1
VE,1
VN,3
ZA,2
ZW,1

# Start date: 20260601
# End date: 20260630
Country,Active users
SG,1957
US,588
CA,581
CN,51
IN,35
GB,24
IR,9

# How are active users trending?
# Start date: 20260601
# End date: 20260630
Nth day,30 days,7 days,1 day
0000,1292,304,61
0001,1307,325,62
0002,1309,347,72
0003,1297,334,55
0004,1294,355,64
0005,1266,379,44
0006,1274,387,45
0007,1316,398,76
0008,1358,407,68
0009,1370,404,66
0010,1371,406,53
0011,1368,393,53
0012,1358,401,51
0013,1360,395,37
0014,1422,397,78
0015,1493,420,93
0016,1590,484,129
0017,1692,579,150
0018,1835,709,184
0019,1931,821,163
0020,2087,984,199
0021,2276,1130,223
0022,2640,1433,399
0023,2980,1689,381
0024,3276,1880,340
0025,3267,1737,39
0026,3229,1601,27
0027,3264,1476,75
0028,3302,1314,61
0029,3326,978,62

# How well do you retain your users?
# Start date: 20260517
# End date: 20260627
Date,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5
May 17 - May 23,255,2,1,0
May 24 - May 30,276,3,1,1
May 31 - Jun 6,364,7,0,3
Jun 7 - Jun 13,385,2,4,-1
Jun 14 - Jun 20,802,4,-1,-1
Jun 21 - Jun 27,1581,-1,-1,-1

#  
# Start date: 20260601
# End date: 20260630
Page title and screen class,Views
Canada Grant Eligibility Calculator | Estimate Your Funding,51
How to Get Federal Grants (2026) – Step-by-Step Guide,23
FSI Digital | Government Grants for Startups & Businesses,22
AI Business Grant Finder | Find Perfect Grants for Your Business,19
"Indigenous Entrepreneur Grants Canada 2026 | AEP, NACCA & First Nations Business Funding",16
1-on-1 B2B Funding Strategy Consultation | FSI Digital,12
Contact FSI Digital | Funding Questions,12
"Small Business Grants Canada 2026: IRAP, SR&ED, CSBFP",12
