Date,Affected pages
2026-04-04,79
2026-04-05,89
2026-04-06,89
2026-04-07,78
2026-04-08,78
2026-04-09,78
2026-04-10,78
2026-04-11,72
2026-04-12,72
2026-04-13,72
2026-04-14,70
2026-04-15,70
2026-04-16,70
2026-04-17,70
2026-04-18,77
2026-04-19,77
2026-04-20,77
2026-04-21,119
2026-04-22,119
2026-04-23,119
2026-04-24,119
2026-04-25,195
2026-04-26,195
2026-04-27,195
2026-04-28,272
2026-04-29,272
2026-04-30,272
2026-05-01,272
2026-05-02,326
2026-05-03,326
2026-05-04,326
2026-05-05,397
2026-05-06,397
2026-05-07,397
2026-05-08,397
2026-05-09,448
2026-05-10,448
2026-05-11,448
2026-05-12,526
2026-05-13,526
2026-05-14,526
2026-05-15,526
2026-05-16,566
2026-05-17,566
2026-05-18,566
2026-05-19,351
2026-05-20,351
2026-05-21,351
2026-05-22,351
2026-05-23,253
2026-05-24,253
2026-05-25,253
2026-05-26,140
2026-05-27,140
2026-05-28,140
2026-05-29,140
2026-05-30,140
2026-05-31,140
2026-06-01,140
2026-06-02,220
2026-06-03,220
2026-06-04,220
2026-06-05,220
2026-06-06,205
2026-06-07,205
2026-06-08,205
2026-06-09,226
2026-06-10,226
2026-06-11,226
2026-06-12,226
