Date,Affected pages
2026-03-21,55
2026-03-22,38
2026-03-23,38
2026-03-24,38
2026-03-25,48
2026-03-26,48
2026-03-27,48
2026-03-28,48
2026-03-29,41
2026-03-30,41
2026-03-31,41
2026-04-01,67
2026-04-02,67
2026-04-03,67
2026-04-04,67
2026-04-05,47
2026-04-06,47
2026-04-07,82
2026-04-08,82
2026-04-09,82
2026-04-10,82
2026-04-11,60
2026-04-12,60
2026-04-13,60
2026-04-14,89
2026-04-15,89
2026-04-16,89
2026-04-17,89
2026-04-18,94
2026-04-19,94
2026-04-20,94
2026-04-21,157
2026-04-22,157
2026-04-23,157
2026-04-24,157
2026-04-25,184
2026-04-26,184
2026-04-27,184
2026-04-28,260
2026-04-29,260
2026-04-30,260
2026-05-01,260
2026-05-02,313
2026-05-03,313
2026-05-04,313
2026-05-05,390
2026-05-06,390
2026-05-07,390
2026-05-08,390
2026-05-09,372
2026-05-10,372
2026-05-11,372
2026-05-12,368
2026-05-13,368
2026-05-14,368
2026-05-15,368
2026-05-16,406
2026-05-17,406
2026-05-18,406
2026-05-19,454
2026-05-20,454
2026-05-21,454
2026-05-22,454
2026-05-23,497
2026-05-24,497
2026-05-25,497
2026-05-26,485
2026-05-27,485
2026-05-28,485
2026-05-29,485
2026-05-30,627
2026-05-31,627
2026-06-01,627
2026-06-02,773
2026-06-03,773
2026-06-04,773
2026-06-05,773
2026-06-06,786
2026-06-07,786
2026-06-08,786
2026-06-09,749
2026-06-10,749
2026-06-11,749
2026-06-12,749
