Date,Clicks,Impressions,CTR,Position
2026-06-03,8,1248,0.64%,18.8
2026-06-04,14,1852,0.76%,21.2
2026-06-05,8,1543,0.52%,19.2
2026-06-06,5,1315,0.38%,19
2026-06-07,6,1666,0.36%,27.7
2026-06-08,12,1651,0.73%,17.1
2026-06-09,9,2012,0.45%,19.6
2026-06-10,10,1674,0.6%,17.6
2026-06-11,14,1573,0.89%,20.3
2026-06-12,6,1431,0.42%,18.2
2026-06-13,3,1290,0.23%,20.9
2026-06-14,8,1889,0.42%,28.1
2026-06-15,10,2091,0.48%,24.1
2026-06-16,16,2457,0.65%,20.1
2026-06-17,6,1933,0.31%,17.5
2026-06-18,9,1953,0.46%,21
2026-06-19,6,1852,0.32%,21.1
2026-06-20,2,1325,0.15%,20.9
2026-06-21,8,1812,0.44%,29
2026-06-22,11,2020,0.54%,19.4
2026-06-23,12,2656,0.45%,18.2
2026-06-24,10,2151,0.46%,25.7
2026-06-25,9,2016,0.45%,26.9
2026-06-26,11,1726,0.64%,21.5
2026-06-27,10,1972,0.51%,23.6
2026-06-28,6,1713,0.35%,21
2026-06-29,14,2169,0.65%,17.2
2026-06-30,9,2417,0.37%,17.4
