Country,Clicks,Impressions,CTR,Position
Canada,155,17775,0.87%,35.22
United States,121,21793,0.56%,16.5
United Kingdom,4,598,0.67%,23.98
India,3,288,1.04%,20.05
Russia,3,100,3%,20.98
Kyrgyzstan,2,2,100%,6.5
Germany,1,444,0.23%,7.96
Brazil,1,272,0.37%,13.95
Philippines,1,217,0.46%,27.4
Italy,1,127,0.79%,9.36
Spain,1,98,1.02%,16.27
Switzerland,1,21,4.76%,8.19
Jamaica,1,7,14.29%,14.71
Bosnia & Herzegovina,1,6,16.67%,8.5
Iceland,1,1,100%,1
Vietnam,0,920,0%,28.01
Netherlands,0,525,0%,7.71
Mexico,0,254,0%,19.05
France,0,237,0%,9.8
Indonesia,0,176,0%,24.65
Argentina,0,116,0%,13.41
Morocco,0,116,0%,25.77
Pakistan,0,111,0%,24.44
Bangladesh,0,104,0%,25.42
Colombia,0,92,0%,19.46
Australia,0,89,0%,24.37
Malaysia,0,87,0%,22.06
Thailand,0,86,0%,24.33
United Arab Emirates,0,81,0%,7.33
Ukraine,0,74,0%,21.12
Turkey,0,68,0%,22.41
Hong Kong,0,67,0%,9.84
Algeria,0,59,0%,26.98
China,0,53,0%,9.3
Japan,0,52,0%,10.33
Saudi Arabia,0,51,0%,25.76
Egypt,0,47,0%,29.66
South Korea,0,44,0%,8.66
Jordan,0,38,0%,28.55
Ecuador,0,37,0%,18.84
South Africa,0,36,0%,18.92
Peru,0,35,0%,9.97
Singapore,0,33,0%,9.58
Nigeria,0,33,0%,11.79
Chile,0,32,0%,13.78
New Zealand,0,31,0%,32.29
Ireland,0,27,0%,18.74
Poland,0,25,0%,10.24
Portugal,0,25,0%,13.84
Iraq,0,23,0%,27.43
Taiwan,0,19,0%,9.89
Venezuela,0,19,0%,13.74
Dominican Republic,0,18,0%,12.06
Israel,0,18,0%,19.06
Iran,0,15,0%,10.67
Kenya,0,15,0%,10.8
Belgium,0,14,0%,9.5
Sweden,0,13,0%,10.15
Paraguay,0,13,0%,10.46
Austria,0,11,0%,9.18
Greece,0,11,0%,13.82
Nepal,0,11,0%,14.64
Panama,0,10,0%,18.8
Puerto Rico,0,9,0%,6.33
Czechia,0,9,0%,12.33
Tunisia,0,9,0%,19.44
Ghana,0,8,0%,5.88
Ethiopia,0,8,0%,8.25
Lebanon,0,8,0%,11.25
Uzbekistan,0,8,0%,11.25
Bulgaria,0,8,0%,12.12
Bolivia,0,8,0%,12.12
Romania,0,8,0%,17.88
Hungary,0,8,0%,19.12
Norway,0,7,0%,11.29
Costa Rica,0,7,0%,12
Albania,0,7,0%,15
Qatar,0,7,0%,16.14
Kazakhstan,0,7,0%,18.43
Luxembourg,0,7,0%,19
Guatemala,0,6,0%,9.33
Belarus,0,6,0%,10
Botswana,0,6,0%,10.67
Uganda,0,6,0%,17.5
Cambodia,0,6,0%,22.33
Denmark,0,5,0%,5.4
Armenia,0,5,0%,9
Slovenia,0,5,0%,9.2
Zimbabwe,0,5,0%,21.2
Azerbaijan,0,5,0%,23.2
Kuwait,0,5,0%,31
Sierra Leone,0,4,0%,5.25
Sri Lanka,0,4,0%,6.5
Slovakia,0,4,0%,7.25
Honduras,0,4,0%,8
Macedonia,0,4,0%,8.25
Finland,0,4,0%,8.5
Trinidad & Tobago,0,4,0%,8.5
Cuba,0,4,0%,9
Cyprus,0,4,0%,9.5
Latvia,0,4,0%,9.75
Zambia,0,4,0%,11.75
El Salvador,0,4,0%,16.25
Uruguay,0,4,0%,17
Oman,0,4,0%,20
Benin,0,4,0%,29.5
Estonia,0,3,0%,5
Togo,0,3,0%,5.33
Papua New Guinea,0,3,0%,7.67
Curaçao,0,3,0%,9
Afghanistan,0,3,0%,9.67
Serbia,0,3,0%,12
Bahamas,0,3,0%,12.67
Angola,0,3,0%,13.33
Cameroon,0,3,0%,14
Cape Verde,0,3,0%,17
Palestine,0,3,0%,21.33
Guam,0,2,0%,5.5
Sint Maarten,0,2,0%,5.5
Brunei,0,2,0%,6
Malta,0,2,0%,6
Croatia,0,2,0%,7.5
Lithuania,0,2,0%,7.5
Senegal,0,2,0%,7.5
Tanzania,0,2,0%,8
Somalia,0,2,0%,8.5
Burundi,0,2,0%,9
Barbados,0,2,0%,9.5
Montenegro,0,2,0%,9.5
Myanmar (Burma),0,2,0%,11
Moldova,0,2,0%,13
Bahrain,0,2,0%,14
Congo - Kinshasa,0,2,0%,19.5
Georgia,0,2,0%,23.5
Namibia,0,2,0%,29.5
Cayman Islands,0,2,0%,35.5
Samoa,0,1,0%,1
Guernsey,0,1,0%,2
Gambia,0,1,0%,2
Sudan,0,1,0%,4
Belize,0,1,0%,5
Monaco,0,1,0%,6
Grenada,0,1,0%,7
St. Lucia,0,1,0%,7
Mongolia,0,1,0%,7
Guyana,0,1,0%,8
Nicaragua,0,1,0%,8
Malawi,0,1,0%,9
Faroe Islands,0,1,0%,10
Mozambique,0,1,0%,10
Solomon Islands,0,1,0%,10
Chad,0,1,0%,10
Kosovo,0,1,0%,10
Burkina Faso,0,1,0%,11
Laos,0,1,0%,11
Madagascar,0,1,0%,21
Lesotho,0,1,0%,27
Haiti,0,1,0%,32
Mauritania,0,1,0%,52
