Date,Affected pages
2026-04-04,65
2026-04-05,65
2026-04-06,65
2026-04-07,68
2026-04-08,68
2026-04-09,68
2026-04-10,68
2026-04-11,129
2026-04-12,129
2026-04-13,129
2026-04-14,149
2026-04-15,149
2026-04-16,149
2026-04-17,149
2026-04-18,190
2026-04-19,190
2026-04-20,190
2026-04-21,239
2026-04-22,239
2026-04-23,239
2026-04-24,239
2026-04-25,266
2026-04-26,266
2026-04-27,266
2026-04-28,327
2026-04-29,327
2026-04-30,327
2026-05-01,327
2026-05-02,357
2026-05-03,357
2026-05-04,357
2026-05-05,466
2026-05-06,466
2026-05-07,466
2026-05-08,466
2026-05-09,536
2026-05-10,536
2026-05-11,536
2026-05-12,600
2026-05-13,600
2026-05-14,600
2026-05-15,600
2026-05-16,602
2026-05-17,602
2026-05-18,602
2026-05-19,603
2026-05-20,603
2026-05-21,603
2026-05-22,603
2026-05-23,602
2026-05-24,602
2026-05-25,602
2026-05-26,602
2026-05-27,602
2026-05-28,602
2026-05-29,602
2026-05-30,607
2026-05-31,607
2026-06-01,607
2026-06-02,597
2026-06-03,597
2026-06-04,597
2026-06-05,597
2026-06-06,595
2026-06-07,595
2026-06-08,595
2026-06-09,602
2026-06-10,602
2026-06-11,602
2026-06-12,602
